SORT,VarID,VarTitle,VarDefinition,VarCategory,VarType,Source,UserNotes,VarID_Code,Count,Code,CodeDescription,ShortName
199,,,,,,,,35_1,81,1,Prolongations of low front vowels are absent.,Absent
200,,,,,,,,35_2,15,2,Prolongations of low front vowels are the third most prominent type of prolongation.,Tertiary
201,,,,,,,,35_3,25,3,Prolongations of low front vowels are the second most prominent type of prolongation.,Secondary
202,,,,,,,,35_4,41,4,Prolongations of low front vowels are the most prominent type of prolongation.,Primary
203,V36,Prolongation - Low Central,The prominence of prolonged low central vowels in the song.,Vowel Prolongation,,Lomax and Trager (1961-2); Wood (2021),"This judgment may consider both the vowel areas with the longest prolongations, and the vowel areas that are prolonged most frequently. If these two measures yield very different results, both may be coded. If there are multiple prolonged vowels of equal prominence, the same category may be coded multiple times on the appropriate variables.",36_NA,52,NA,Missing data,Missing data
204,,,,,,,,36_1,116,1,Prolongations of low central vowels are absent.,Absent
205,,,,,,,,36_2,13,2,Prolongations of low central vowels are the third most prominent type of prolongation.,Tertiary
206,,,,,,,,36_3,51,3,Prolongations of low central vowels are the second most prominent type of prolongation.,Secondary
207,,,,,,,,36_4,106,4,Prolongations of low central vowels are the most prominent type of prolongation.,Primary
208,V37,Prolongation - Low Back,The prominence of prolonged low back vowels in the song.,Vowel Prolongation,,Lomax and Trager (1961-2); Wood (2021),"This judgment may consider both the vowel areas with the longest prolongations, and the vowel areas that are prolonged most frequently. If these two measures yield very different results, both may be coded. If there are multiple prolonged vowels of equal prominence, the same category may be coded multiple times on the appropriate variables.",37_NA,265,NA,Missing data,Missing data
209,,,,,,,,37_1,49,1,Prolongations of low back vowels are absent.,Absent
210,,,,,,,,37_2,4,2,Prolongations of low back vowels are the third most prominent type of prolongation.,Tertiary
211,,,,,,,,37_3,10,3,Prolongations of low back vowels are the second most prominent type of prolongation.,Secondary
212,,,,,,,,37_4,10,4,Prolongations of low back vowels are the most prominent type of prolongation.,Primary
213,V38,Ratio - Front Front Stop,The ratio of front front stop consonants compared to the total number of consonants in the song.,Consonant Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),"See Guide to Coding Phonotactics (Wood 2021) for explanations of articulators, points of articulation, and manners of articulation in defining consonant areas.",38_NA,0,NA,Missing data,Missing data
214,,,,,,,,38_1,86,1,Absence of front front stop consonants.,0%
215,,,,,,,,38_2,81,2,From one clear instance to 5 percent front front stop consonants.,5%
216,,,,,,,,38_3,144,3,From 10 to 15 percent front front stop consonants.,10-15%
217,,,,,,,,38_4,24,4,From 20 to 25 percent front front stop consonants.,20-25%
218,,,,,,,,38_5,2,5,From 30 to 35 percent front front stop consonants.,30-35%
219,,,,,,,,38_6,1,6,From 40 to 50 percent front front stop consonants.,40-50%
220,,,,,,,,38_7,0,7,55 percent front front stop consonants or higher.,55% plus
221,V39,Ratio - Front Front Fricative,The ratio of front front fricative consonants compared to the total number of consonants in the song.,Consonant Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),"See Guide to Coding Phonotactics (Wood 2021) for explanations of articulators, points of articulation, and manners of articulation in defining consonant areas.",39_NA,0,NA,Missing data,Missing data
222,,,,,,,,39_1,195,1,Absence of front front fricative consonants.,0%
223,,,,,,,,39_2,77,2,From one clear instance to 5 percent front front fricative consonants.,5%
224,,,,,,,,39_3,53,3,From 10 to 15 percent front front fricative consonants.,10-15%
225,,,,,,,,39_4,5,4,From 20 to 25 percent front front fricative consonants.,20-25%
226,,,,,,,,39_5,6,5,From 30 to 35 percent front front fricative consonants.,30-35%
227,,,,,,,,39_6,2,6,From 40 to 50 percent front front fricative consonants.,40-50%
228,,,,,,,,39_7,0,7,55 percent front front fricative consonants or higher.,55% plus
229,V40,Ratio - Front Front Nasal,The ratio of front front nasal consonants compared to the total number of consonants in the song.,Consonant Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),"See Guide to Coding Phonotactics (Wood 2021) for explanations of articulators, points of articulation, and manners of articulation in defining consonant areas.",40_NA,0,NA,Missing data,Missing data
230,,,,,,,,40_1,77,1,Absence of front front nasal consonants.,0%
231,,,,,,,,40_2,60,2,From one clear instance to 5 percent front front nasal consonants.,5%
232,,,,,,,,40_3,177,3,From 10 to 15 percent front front nasal consonants.,10-15%
233,,,,,,,,40_4,17,4,From 20 to 25 percent front front nasal consonants.,20-25%
234,,,,,,,,40_5,4,5,From 30 to 35 percent front front nasal consonants.,30-35%
235,,,,,,,,40_6,2,6,From 40 to 50 percent front front nasal consonants.,40-50%
236,,,,,,,,40_7,1,7,55 percent front front nasal consonants or higher.,55% plus
237,V41,Ratio - Mid Front Fricative,The ratio of mid front fricative consonants compared to the total number of consonants in the song.,Consonant Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),"See Guide to Coding Phonotactics (Wood 2021) for explanations of articulators, points of articulation, and manners of articulation in defining consonant areas.",41_NA,0,NA,Missing data,Missing data
238,,,,,,,,41_1,292,1,Absence of mid front fricative consonants.,0%
239,,,,,,,,41_2,45,2,From one clear instance to 5 percent mid front fricative consonants.,5%
240,,,,,,,,41_3,1,3,From 10 to 15 percent mid front fricative consonants.,10-15%
241,,,,,,,,41_4,0,4,From 20 to 25 percent mid front fricative consonants.,20-25%
242,,,,,,,,41_5,0,5,From 30 to 35 percent mid front fricative consonants.,30-35%
243,,,,,,,,41_6,0,6,From 40 to 50 percent mid front fricative consonants.,40-50%
244,,,,,,,,41_7,0,7,55 percent mid front fricative consonants or higher.,55% plus
245,V42,Ratio - Mid Mid Stop,The ratio of mid mid stop consonants compared to the total number of consonants in the song.,Consonant Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),"See Guide to Coding Phonotactics (Wood 2021) for explanations of articulators, points of articulation, and manners of articulation in defining consonant areas.",42_NA,0,NA,Missing data,Missing data
246,,,,,,,,42_1,61,1,Absence of mid mid stop consonants.,0%
247,,,,,,,,42_2,25,2,From one clear instance to 5 percent mid mid stop consonants.,5%
248,,,,,,,,42_3,181,3,From 10 to 15 percent mid mid stop consonants.,10-15%
249,,,,,,,,42_4,58,4,From 20 to 25 percent mid mid stop consonants.,20-25%
250,,,,,,,,42_5,9,5,From 30 to 35 percent mid mid stop consonants.,30-35%
251,,,,,,,,42_6,4,6,From 40 to 50 percent mid mid stop consonants.,40-50%
252,,,,,,,,42_7,0,7,55 percent mid mid stop consonants or higher.,55% plus
253,V43,Ratio - Mid Mid Fricative,The ratio of mid mid fricative consonants compared to the total number of consonants in the song.,Consonant Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),"See Guide to Coding Phonotactics (Wood 2021) for explanations of articulators, points of articulation, and manners of articulation in defining consonant areas.",43_NA,0,NA,Missing data,Missing data
254,,,,,,,,43_1,110,1,Absence of mid mid fricative consonants.,0%
255,,,,,,,,43_2,72,2,From one clear instance to 5 percent mid mid fricative consonants.,5%
256,,,,,,,,43_3,132,3,From 10 to 15 percent mid mid fricative consonants.,10-15%
257,,,,,,,,43_4,23,4,From 20 to 25 percent mid mid fricative consonants.,20-25%
258,,,,,,,,43_5,1,5,From 30 to 35 percent mid mid fricative consonants.,30-35%
259,,,,,,,,43_6,0,6,From 40 to 50 percent mid mid fricative consonants.,40-50%
260,,,,,,,,43_7,0,7,55 percent mid mid fricative consonants or higher.,55% plus
261,V44,Ratio - Mid Mid Nasal,The ratio of mid mid nasal consonants compared to the total number of consonants in the song.,Consonant Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),"See Guide to Coding Phonotactics (Wood 2021) for explanations of articulators, points of articulation, and manners of articulation in defining consonant areas.",44_NA,0,NA,Missing data,Missing data
262,,,,,,,,44_1,57,1,Absence of mid mid nasal consonants.,0%
263,,,,,,,,44_2,68,2,From one clear instance to 5 percent mid mid nasal consonants.,5%
264,,,,,,,,44_3,163,3,From 10 to 15 percent mid mid nasal consonants.,10-15%
265,,,,,,,,44_4,38,4,From 20 to 25 percent mid mid nasal consonants.,20-25%
266,,,,,,,,44_5,7,5,From 30 to 35 percent mid mid nasal consonants.,30-35%
267,,,,,,,,44_6,3,6,From 40 to 50 percent mid mid nasal consonants.,40-50%
268,,,,,,,,44_7,2,7,55 percent mid mid nasal consonants or higher.,55% plus
269,V45,Ratio - Mid Mid Lateral,The ratio of mid mid lateral consonants compared to the total number of consonants in the song.,Consonant Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),"See Guide to Coding Phonotactics (Wood 2021) for explanations of articulators, points of articulation, and manners of articulation in defining consonant areas.",45_NA,0,NA,Missing data,Missing data
270,,,,,,,,45_1,77,1,Absence of mid mid lateral consonants.,0%
271,,,,,,,,45_2,32,2,From one clear instance to 5 percent mid mid lateral consonants.,5%
272,,,,,,,,45_3,145,3,From 10 to 15 percent mid mid lateral consonants.,10-15%
273,,,,,,,,45_4,54,4,From 20 to 25 percent mid mid lateral consonants.,20-25%
274,,,,,,,,45_5,16,5,From 30 to 35 percent mid mid lateral consonants.,30-35%
275,,,,,,,,45_6,9,6,From 40 to 50 percent mid mid lateral consonants.,40-50%
276,,,,,,,,45_7,5,7,55 percent mid mid lateral consonants or higher.,55% plus
277,V46,Ratio - Back Back Stop,The ratio of back back stop consonants compared to the total number of consonants in the song.,Consonant Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),"See Guide to Coding Phonotactics (Wood 2021) for explanations of articulators, points of articulation, and manners of articulation in defining consonant areas.",46_NA,0,NA,Missing data,Missing data
278,,,,,,,,46_1,40,1,Absence of back back stop consonants.,0%
279,,,,,,,,46_2,47,2,From one clear instance to 5 percent back back stop consonants.,5%
280,,,,,,,,46_3,172,3,From 10 to 15 percent back back stop consonants.,10-15%
281,,,,,,,,46_4,53,4,From 20 to 25 percent back back stop consonants.,20-25%
282,,,,,,,,46_5,12,5,From 30 to 35 percent back back stop consonants.,30-35%
283,,,,,,,,46_6,9,6,From 40 to 50 percent back back stop consonants.,40-50%
284,,,,,,,,46_7,5,7,55 percent back back stop consonants or higher.,55% plus
285,V47,Ratio - Back Back Fricative,The ratio of back back fricative consonants compared to the total number of consonants in the song.,Consonant Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),"See Guide to Coding Phonotactics (Wood 2021) for explanations of articulators, points of articulation, and manners of articulation in defining consonant areas.",47_NA,0,NA,Missing data,Missing data
286,,,,,,,,47_1,80,1,Absence of back back fricative consonants.,0%
287,,,,,,,,47_2,86,2,From one clear instance to 5 percent back back fricative consonants.,5%
288,,,,,,,,47_3,74,3,From 10 to 15 percent back back fricative consonants.,10-15%
289,,,,,,,,47_4,29,4,From 20 to 25 percent back back fricative consonants.,20-25%
290,,,,,,,,47_5,9,5,From 30 to 35 percent back back fricative consonants.,30-35%
291,,,,,,,,47_6,15,6,From 40 to 50 percent back back fricative consonants.,40-50%
292,,,,,,,,47_7,45,7,55 percent back back fricative consonants or higher.,55% plus
293,V48,Ratio - Back Back Nasal,The ratio of back back nasal consonants compared to the total number of consonants in the song.,Consonant Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),"See Guide to Coding Phonotactics (Wood 2021) for explanations of articulators, points of articulation, and manners of articulation in defining consonant areas.",48_NA,0,NA,Missing data,Missing data
294,,,,,,,,48_1,192,1,Absence of back back nasal consonants.,0%
295,,,,,,,,48_2,94,2,From one clear instance to 5 percent back back nasal consonants.,5%
296,,,,,,,,48_3,45,3,From 10 to 15 percent back back nasal consonants.,10-15%
297,,,,,,,,48_4,7,4,From 20 to 25 percent back back nasal consonants.,20-25%
298,,,,,,,,48_5,0,5,From 30 to 35 percent back back nasal consonants.,30-35%
299,,,,,,,,48_6,0,6,From 40 to 50 percent back back nasal consonants.,40-50%
300,,,,,,,,48_7,0,7,55 percent back back nasal consonants or higher.,55% plus
301,V49,Total Vowels,The total number of vowel areas in the song.,Vowel-Consonant Relationship,Ordinal,Lomax and Trager (1961-2); Wood (2021),,49_NA,0,NA,Missing data,Missing data
302,,,,,,,,49_1,0,1,1 vowel area,1
303,,,,,,,,49_2,31,2,2-3 vowel areas,2-3
304,,,,,,,,49_3,30,3,4 vowel areas,4
305,,,,,,,,49_4,88,4,5 vowel areas,5
306,,,,,,,,49_5,80,5,6 vowel areas,6
307,,,,,,,,49_6,80,6,7-8 vowel areas,7-8
308,,,,,,,,49_7,29,7,9 vowel areas,9
309,V50,Total Consonants,The total number of consonants in the song.,Vowel-Consonant Relationship,Ordinal,Lomax and Trager (1961-2); Wood (2021),,50_NA,0,NA,Missing data,Missing data
310,,,,,,,,50_1,24,1,1 consonant,1
311,,,,,,,,50_2,26,2,2-3 consonants,2-3
312,,,,,,,,50_3,19,3,4-5 consonants,4-5
313,,,,,,,,50_4,25,4,6 consonants,6
314,,,,,,,,50_5,110,5,7-8 consonants,7-8
315,,,,,,,,50_6,114,6,9-10 consonants,9-10
316,,,,,,,,50_7,20,7,11 consonants,11
317,V51,Vowel-Consonant Proportion,The proportion of vowels to consonants in the song.,Vowel-Consonant Relationship,Ordinal,Lomax and Trager (1961-2); Wood (2021),,51_NA,1,NA,Missing data,Missing data
318,,,,,,,,51_1,13,1,The song is dominated by vowels.,V
319,,,,,,,,51_2,200,2,The song has more vowels than consonants.,cV
320,,,,,,,,51_3,79,3,The song has about an equal number of vowels and consonants.,cv
321,,,,,,,,51_4,44,4,The song has more consonants than vowels.,Cv
322,,,,,,,,51_5,1,5,The song is dominated by consonants.,C
