Ph-id,C-id,Local_lat,Local_long,Region,Division,Subregion,Area/Kingdom,Culture,Culture_loc,Ph_cid,Audio_notes,Duration,Audio_file,Archival_source#,Song,Genre,Song_notes,Performers,Instruments,Lyrics,Living_metadata,Recorded_by,Year,Publisher,Publcation_collection,Repository,Classification_notes,Metadata_notes,Sources,Source Tag
300,,14.42,-3.32,Africa,West Africa,Interior West Africa,"Central Plateau, Mali/ Burkina Faso",Dogon,"Bandiagara Escarpment, Mali",14675,,,,4A45.IIA2,Ha Hé Yo,,,"Male solo, yodelling",Male Voice; Yodelling,,,Francois Di Dio,1956,Exemplaire,"Les Dogon: Record I, Les Chants de la Vie: Record II. Radio Diffusion de la France d'Outre Mer 143, 1961","Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,@RFO1958DogonI
461,2137,-0.74,18.11,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,"Southeastern Shore of Lake Tumba, Bikoro Territory, Équateur Province, Democratic Republic of the Congo",15027,,0:02:19,T5458R42,4A33.B9,Boloi,Dance Song,General dance song,Ten women wtih bojeke rattle and male chorus,10 Female Voices; Male Voices; Boyeke Rattle,,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,Merriam's notes list rattle and scraper accompaniment to this song; code sheet does not list,,@Washington1962EkondaTribalMusic
459,2140,-0.74,18.11,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,"Southeastern Shore of Lake Tumba, Bikoro Territory, Équateur Province, Democratic Republic of the Congo",15027,,0:02:13,T5458R39,4A33.B6,Lela-Lela,Exorcism Song; Spirit Song,"""Lela-Lela"" translates as ""Cry, Cry."" This song is used to drive away evil spirits, and is accompanied by a Menda (a clay pot blown into while tongue is vibrated).","Four men sing with two boyeke, lokomb, and menda",4 Male Voices; Boyeke; Lokomb; Maleda,,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,@Washington1962EkondaTribalMusic
458,2141,-0.74,18.11,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,"Southeastern Shore of Lake Tumba, Bikoro Territory, Équateur Province, Democratic Republic of the Congo",15027,,0:01:48,T5458R38,4A33.B4,Ntole Bayintu,Gathering Song,An unusual kind of solo song used for gathering food. The singer accompanies himself on the boyeke.,Boto Laurent sings with boyeke.,Male Voice; Boyeke,,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,@Washington1962EkondaTribalMusic
467,2142,-0.74,18.11,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,"Southeastern Shore of Lake Tumba, Bikoro Territory, Équateur Province, Democratic Republic of the Congo",15027,,0:01:43,T5458R37,4A33.B3,Bokungu,Tree Song; Nature Song ,Singers compare themselves to a Bokungu (a large tree).,"Eight men, two boyeke ",8 Male Voices; 2 Boyeke,,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,@Washington1962EkondaTribalMusic
463,2143,-0.74,18.11,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,"Southeastern Shore of Lake Tumba, Bikoro Territory, Équateur Province, Democratic Republic of the Congo",15027,,0:03:51,T5458R36,4A33.B2,Nakobeka,Banana Song,Song about a banana,Two women sing with male and female boyeke players.,2 Female Voices; 2 Boyeke,,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,@Washington1962EkondaTribalMusic
465,2144,-0.71,17.71,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,"Bongeli, Équateur Province, Democratic Republic of the Congo",15027,Excerpt from continuous performances,0:07:00,T5458R33,"4A33.A1, pt. 1; WFS1B.22","Bobongo, Song-Dance Song Cycle, Part 1",Song For The Dead; Spirit Song; Dance Song,Songs to honor a dead person and banish other spirits.,Twelve men sing with two boyeke. ,12 Male Voices; 2 Boyeke,,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,@Washington1962EkondaTribalMusic
464,2145,-0.74,18.11,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,"Southeastern Shore of Lake Tumba, Bikoro Territory, Équateur Province, Democratic Republic of the Congo",15027,,0:03:19,T5458R35,4A33.B1,Nsi,Social Dance; Dance Song; Fish Song,"A social dance song begun by soloist. He is later joined by a second voice in duet, and finally a chorus of nine men, one of whom plays the boyeke. Nsi means fish.",Male leader with chorus of nine men and boyeke,Male Voice; 9 Male Voices; Boyeke,,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,@Washington1962EkondaTribalMusic
460,,-0.71,17.71,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,"Bongeli, Équateur Province, Democratic Republic of the Congo",15027,,,,4A33.A10,Bobongo,Song For The Dead; Spirit Song; Dance Song,Songs to honor a dead person and banish other spirits.,Twelve men sing with two boyeke. ,12 Male Voices; 2 Boyeke,,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,"Ekonda: Tribal Music of the Congo. Washington Records WLP709, New York","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"Not sure if band 10 means part 10, or what section of side A this sample corresponds with, as side A seems to be one continuous track.",,@Washington1962EkondaTribalMusic
462,,-0.71,17.71,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,"Bongeli, Équateur Province, Democratic Republic of the Congo",15027,,,,4A33.A2,Bobongo,Song For The Dead; Spirit Song; Dance Song,Songs to honor a dead person and banish other spirits.,Twelve men sing with two boyeke. ,12 Male Voices; 2 Boyeke,,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,"Ekonda: Tribal Music of the Congo. Washington Records WLP709, New York","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"Not sure if band 2 means part 2, or what section of side A this sample corresponds with, as side A seems to be one continuous track.",,@Washington1962EkondaTribalMusic
466,,-0.74,18.11,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,"Southeastern Shore of Lake Tumba, Bikoro Territory, Équateur Province, Democratic Republic of the Congo",15027,,,,4A33.B5,Ekoto Mboloko,,,,,,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,@Washington1962EkondaTribalMusic
160,189,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:01:44,PENDING,1B4.A1; WFS3.5,War Dance Song,War Dance Song,"Flathead Indian War Dance, sung as a call and response between a leader and the rest of the group. As they sing, the move counterclockwise around a center pole.","Louie Nine Pipe, Paul Finley",Male Voice; Male Voices; Drum,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R05,http://www.folkways.si.edu/TrackDetails.aspx?itemid=11352; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1953SongsAndDancesOfTheFlatheadIndians
165,190,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:00:59,PENDING,1B4.A4,Love Song,Love Song,"A personal love song, sung by a solo male vocalist.",Paul Finley,Male Voice,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R07,http://www.folkways.si.edu/TrackDetails.aspx?itemid=13040; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1953SongsAndDancesOfTheFlatheadIndians
164,2486,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:01:30,PENDING,1B4.A9; CHB7B1.11,Sweathouse Song,Healing Song,"A sweating song, used to cure eye infections.",Ellen Big Sam,Female Voice,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R11,http://www.folkways.si.edu/TrackDetails.aspx?itemid=13045; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1953SongsAndDancesOfTheFlatheadIndians
159,2487,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:02:06,PENDING,1B4.A8,Owl Dance Song,Dance Song; Animal Song; Circle Dance; Dance In Pairs,Couples dance side by side and move clockwise in a circle. Precedes War Dance.,Louie Nine Pipe,Male Voices,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R10,"http://www.folkways.si.edu/TrackDetails.aspx?itemid=13044; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.
",@FW1953SongsAndDancesOfTheFlatheadIndians
157,2488,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:01:08,PENDING,1B4.B6,Scalp Dance Song,Dance Song,Sung by men while waiting for the women to prepare for the Scalp Dance.,"Jerome Vanderburg, Agnes Vanderburg",Male Voice; Female Voice,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R16,http://www.folkways.si.edu/jerome-and-agnes-vanderburg/scalp-dance-song-2/american-indian/music/track/smithsonian; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1953SongsAndDancesOfTheFlatheadIndians
166,2491,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:01:52,PENDING,1B4.A7,Snake Dance Song,Dance Song; Animal Song,The Snake Dance functions as introduction to the War and Owl Dances,Louie Nine Pipe,Male Voice,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R09,http://www.folkways.si.edu/TrackDetails.aspx?itemid=13043; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1953SongsAndDancesOfTheFlatheadIndians
161,2492,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:01:38,PENDING,1B4.A6,Love Song,Love Song,Woman's personal love song,Catherine Nine Pipe,Male Voice,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R08,http://www.folkways.si.edu/catherine-nine-pipe/love-song/american-indian/music/track/smithsonian; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1953SongsAndDancesOfTheFlatheadIndians
163,2493,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:01:06,PENDING,1B4.A3,Wake-up Song,Wake-Up Song,Song for waking up the community,Jerome Vanderburg,Male Voice,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R06,http://www.folkways.si.edu/TrackDetails.aspx?itemid=13039; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1953SongsAndDancesOfTheFlatheadIndians
158,,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:01:17,,1B4.B5,Scalp Dance Song,Dance song; courtship song; victory song,"Combines elements of the old Scalp Dance and the Marrying Dance, of which the latter is no longer to be found. The first part of the dance was performed by the women who dressed in men's clothing and danced in a circle to celebrate the return of a victorious war party. In another version, men and women form parallel lines, and the men propose marriage by laying a stick bearing recently taken scalps over the shoulder of the woman he desires.",Jerome and Agnes Vanderburg; hand drum,Male and Female Voices; Hand Drum,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,https://folkways.si.edu/jerome-and-agnes-vanderburg/scalp-dance-song/american-indian/music/track/smithsonian,@FW1953SongsAndDancesOfTheFlatheadIndians
162,,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:01:43,,1B4.A2,War Dance Song,War Dance Song,"This song is a traditional Flathead War Dance song, rather than a song borrowed from a different tribe. This differentiation is based upon the presence or absence of the coda, the true Flathead songs being of the latter type. ","Louie Nine Pipe, hand drum",Male Voice; Hand Drum,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,https://folkways.si.edu/louie-nine-pipe/war-dance-song/american-indian/music/track/smithsonian,@FW1953SongsAndDancesOfTheFlatheadIndians
202,30,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:01:54,T5422R17,3A27.B6; WFS7.1,PanIayisan; 'Ambahan ,Courting chant,"Courting songs, first of a sequence of chant songs accompanied by fiddle and disguised talk, alternation between male and female marked by fiddle interludes","Male and female duet, gitgit",Male; 2 Female Voices; Gitgit,,,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,First chant only coded,http://www.folkways.si.edu/TrackDetails.aspx?itemid=14947,@FW1953HanunooMusic
201,3611,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:02:03,T5422R12,3A27.A2b; WFS7.2,Urukay ,Courting chant,"Courting songs, second of two chants used in courting. ","Male solo, kudyapi' guitar, foot tapping",Male Voice; Kudyapi' Guitar; Foot Tapping,,,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,Second chant only coded,,@FW1953HanunooMusic
210,3612,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:01:03,T5422R14,3A27.A5,Pagrit ,,"Yells while clearing the forest, forceful stresses by male leader","Male group, yells",Male Voices; Yells,,,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,http://www.folkways.si.edu/TrackDetails.aspx?itemid=14935,@FW1953HanunooMusic
211,3613,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:00:45,T5422R16,3A27.B5,Uwi ,,Trail calls ,"Male group, yells",Male Voices; Yells,,,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,http://www.folkways.si.edu/TrackDetails.aspx?itemid=14946,@FW1953HanunooMusic
200,3614,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:02:03,T5422R12,3A27.A2a; WFS7.2,Urukay ,Courting chant,"Courting songs, first of two chants used in courting. ","Male solo, kudyapi' guitar, foot tapping",Male Voice; Kudyapi' Guitar; Foot Tapping,,,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,First chant only coded,,@FW1953HanunooMusic
204,3615,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:01:04,T5422R13,3A27.A4,Iyaya,,"Lullaby, chant, a sort of yawn and dragging sleepy quality in the voice as well as an exhalation of the breath at the end of phrases",Male solo,Male Voice,,,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,http://www.folkways.si.edu/TrackDetails.aspx?itemid=14934,@FW1953HanunooMusic
199,3616,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:02:37,T5422R15,3A27.A11,Ngayung,Ritual chant,"Low, slow moaning chant used to rid the forest of malign spirits, principle voice follows pentatonic scale, inner voices form drones, very free rhythm","Male leader, male chorus",Male Voice; Male Voices,,,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,http://www.folkways.si.edu/TrackDetails.aspx?itemid=7106,@FW1953HanunooMusic
203,,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:01:09,,3A27.B13,Ambáhan,Courting chant,Simple courting chant,Male solo,Male Voice,"My loved one, Ma'ayan 
Don't feel so low
Our elders will help us 
And we will exchange gifts 
To strengthen the bond;
If things work out
And all goes well
We will meet again. ",,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,https://folkways.si.edu/hanunoo-man/ambahan/world/music/track/smithsonian,@FW1953HanunooMusic
205,,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:02:03,,"3A27.B7,4",Animal Call (Pig),Animal call,"Fourth of several animal calls. An older man asks his nepnew to feed the cats, dogs, cows, pigs, and chickens respectively. In each case, the younger man obeys and attracts these animals with typical--and in most cases imitative--calls. ",Male solo,Male Voice,,,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,Fourth call only coded,https://folkways.si.edu/older-hanunoo-man-and-his-nephew/animal-calls/world/music/track/smithsonian,@FW1953HanunooMusic
206,,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:02:03,,"3A27.B7,3",Animal Call (Cow),Animal call,"Third of several animal calls. An older man asks his nepnew to feed the cats, dogs, cows, pigs, and chickens respectively. In each case, the younger man obeys and attracts these animals with typical--and in most cases imitative--calls. ",Male solo,Male Voice,,,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,Third call only coded,https://folkways.si.edu/older-hanunoo-man-and-his-nephew/animal-calls/world/music/track/smithsonian,@FW1953HanunooMusic
207,,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:02:03,,"3A27.B7,2",Animal Call (Dog),Animal call,"Second of several animal calls. An older man asks his nepnew to feed the cats, dogs, cows, pigs, and chickens respectively. In each case, the younger man obeys and attracts these animals with typical--and in most cases imitative--calls. ",Male solo,Male Voice,,,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,Second call only coded,https://folkways.si.edu/older-hanunoo-man-and-his-nephew/animal-calls/world/music/track/smithsonian,@FW1953HanunooMusic
208,,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:02:03,,"3A27.B7,1",Animal Call (Cat),Animal call,"First of several animal calls. An older man asks his nepnew to feed the cats, dogs, cows, pigs, and chickens respectively. In each case, the younger man obeys and attracts these animals with typical--and in most cases imitative--calls. ",Male solo,Male Voice,,,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,First call only coded,https://folkways.si.edu/older-hanunoo-man-and-his-nephew/animal-calls/world/music/track/smithsonian,@FW1953HanunooMusic
209,,16.56,121.26,Southeast Asia,Island S E Asia,N Philippines,Mindoro Island,Hanunoo,"Mount Yagaw Area, Interior of Southeastern Mindoro, Philippines",16545,,0:02:03,,"3A27.B7,5",Animal Call (Chicken),Animal call,"Fifth of several animal calls. An older man asks his nepnew to feed the cats, dogs, cows, pigs, and chickens respectively. In each case, the younger man obeys and attracts these animals with typical--and in most cases imitative--calls. ",Male solo,Male Voice,,,Harold C. Conklin,1953,Smithsonian Folkways,"Hanunoo Music from the Philippines. Folkways Records FE466, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,Fifth call only coded,https://folkways.si.edu/older-hanunoo-man-and-his-nephew/animal-calls/world/music/track/smithsonian,@FW1953HanunooMusic
184,2916,43.22,142.86,North Eurasia,E North Eurasia,N Japan,Hokkaidō,Hokkaido Ainu,"Hokkaido, Japan",16809,,0:00:50,T5410R27,T1479.7; WFS1A.7,The Beached Whale,Celebratory Song,"Sung on the occasion of a whale beached on the seashore, this celebratory song expresses happiness over the good fortune in successfully obtaining a large amount of food",Male chorus,Male Voices,,,Kyojiro Kondo; William A. Murphy,1957,Previously Unpublished,Kyojiro Kondo Collection of Ainu music. c.1957,"The Archives of Traditional Music, Indiana University, Bloomington; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Region/Area inaccurate; Hokkaido is an island in N. Japan. See T1477 for, most likely, accurate region/area. ","Coding sheet lists source number as T1479.6, but song description matches T1479.7.",Source: Recordings dubbed for A. L. by Kyojiro Kondo; Notes by Dr. W. A. Anderson,@KKC1957TheBeachedWhale
183,2917,43.22,142.86,North Eurasia,E North Eurasia,N Japan,Hokkaidō,Hokkaido Ainu,"Hokkaido, Japan",16809,,0:02:45,T5410R28,T1479.8,"Bear Festival Song, Circle Dance",Thanksgiving Song; Circle Dance; Dance Song; Animal Song; Festival Song; Ceremonial Song; Sacrificial Song,"Bear festival song and circle dance giving thanks for a successful kill, performed after bear has died","Male solo, mixed chorus, short sticks ",Male Voice; Mixed Voices; Short Sticks,,,Kyojiro Kondo; William A. Murphy,1957,Previously Unpublished,Kyojiro Kondo Collection of Ainu music. c.1957,"The Archives of Traditional Music, Indiana University, Bloomington; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Region/Area inaccurate; Hokkaido is an island in N. Japan. See T1477 for, most likely, accurate region/area.","Coding sheet lists source number as T1479.7, but song description matches T1479.8.",Source: Recordings dubbed for A. L. by Kyojiro Kondo; Notes by Dr. W. A. Anderson,@KKC1957BearFestivalSongCircleDance
